disorder;disorder_OMIM;disorder_cat;symptom;symptom_cat;gene_symb;gene_OMIM;gene_cytoloc
dilated cardiomyopathy;611407;intrinsic cardiomyopathy;dilated cardiomyopathy;Cardiomyopathy;VCL, CMD1W, CMH15;193065;10q22.2
dilated cardiomyopathy;611615;intrinsic cardiomyopathy;proximal muscle weakness;Muscle weakness;FKTN, FCMD, CMD1X, LGMD2M, MDDGA4, MDDGB4, MDDGC4;607440;9q31.2
dilated cardiomyopathy;611878;intrinsic cardiomyopathy;ventricular tachycardia;Tachycardia;TPM1, CMH3, CMD1Y , LVNC9;191010;15q22.2
dilated cardiomyopathy;611879;intrinsic cardiomyopathy;dilated cardiomyopathy;Cardiomyopathy;TNNC1, CMD1Z, CMH13;191040;3p21.1
dilated cardiomyopathy;611880;intrinsic cardiomyopathy;young adult onset;Adult onset;TNNI3, CMH7, CMD2A, RCM1, CMD1FF;191044;19q13.42
dilated cardiomyopathy;612158;intrinsic cardiomyopathy;endocardial fibroelastosis;Abnormality of the endocardium;ACTN2, CMD1AA;102573;1q43
dilated cardiomyopathy;612877;intrinsic cardiomyopathy;dilated cardiomyopathy;Cardiomyopathy;DSG2, ARVD10, ARVC10, CMD1BB;125671;18q12.1
dilated cardiomyopathy;613122;intrinsic cardiomyopathy;dilated cardiomyopathy;Cardiomyopathy;NEXN, NELIN, CMD1CC, CMH20;613121;1p31.1
dilated cardiomyopathy;613172;intrinsic cardiomyopathy;sudden cardiac death;Cardiac arrest;RBM20;613171;10q25.2
dilated cardiomyopathy;613252;intrinsic cardiomyopathy;dilated cardiomyopathy;Cardiomyopathy;MYH6, ASD3, MYHCA, CMD1EE, CMH14, SSS3;160710;14q11.2
dilated cardiomyopathy;613286;intrinsic cardiomyopathy;dilated cardiomyopathy;Cardiomyopathy;TNNI3, CMH7, CMD2A, RCM1, CMD1FF;191044;19q13.42
dilated cardiomyopathy;613424;intrinsic cardiomyopathy;ventricular arrhythmia;Arrhythmia;ACTC1, CMD1R, CMH11, ASD5, LVNC4;102540;15q14
dilated cardiomyopathy;613426;intrinsic cardiomyopathy;tricuspid regurgitation;Abnormality of the tricuspid valve;MYH7, CMH1, MPD1, CMD1S, SPMM, SPMD;160760;14q11.2
dilated cardiomyopathy;613642;intrinsic cardiomyopathy;dilated cardiomyopathy;Cardiomyopathy;SDHA, SDH1, SDHF, CMD1GG, PGL5;600857;5p15.33
dilated cardiomyopathy;613694;intrinsic cardiomyopathy;dilated cardiomyopathy;Cardiomyopathy;PSEN1, AD3;104311;14q24.2
dilated cardiomyopathy;613697;intrinsic cardiomyopathy;dilated cardiomyopathy;Cardiomyopathy;PSEN2, AD4, STM2, CMD1V;600759;1q42.13
dilated cardiomyopathy;613740;intrinsic cardiomyopathy;reduced systolic function;Congestive heart failure;TMPO, LAP2, CMD1T;188380;12q23.1
dilated cardiomyopathy;613881;intrinsic cardiomyopathy;dilated cardiomyopathy;Cardiomyopathy;BAG3, MFM6;603883;10q26.11
dilated cardiomyopathy;614672;intrinsic cardiomyopathy;atrial fibrillation;Primary atrial arrhythmia;GATAD1, ODAG, CMD2B;614518;7q21.2
dilated cardiomyopathy;615184;intrinsic cardiomyopathy;mitral regurgitation;Abnormality of the mitral valve;CRYAB, CRYA2, CTPP2, CMD1II, CTRCT16, MFM2;123590;11q23.1
dilated cardiomyopathy;615235;intrinsic cardiomyopathy;dilated cardiomyopathy;Cardiomyopathy;LAMA4, LAMA3, CMD1JJ;600133;6q21
dilated cardiomyopathy;615916;intrinsic cardiomyopathy;ventricular arrhythmia;Arrhythmia;RAF1, CRAF, NS5, CMD1NN;164760;3p25.2
distal arthrogryposis;108120;muscle tissue disease;stiff shoulders;Abnormality of the shoulder;TPM2, TMSB, AMCD1, DA1, DA2B, NEM4;190990;9p13.3
distal arthrogryposis;108145;muscle tissue disease;camptodactyly of finger;Flexion contracture of finger;PIEZO2, FAM38B, DA5, DA3, MWKS;613629;18p11.22-p11.21
distal arthrogryposis;114300;muscle tissue disease;down-sloping shoulders;Abnormality of the shoulder;PIEZO2, FAM38B, DA5, DA3, MWKS;613629;18p11.22-p11.21
distal arthrogryposis;121050;muscle tissue disease;duodenal stenosis;Small intestinal stenosis;FBN2, CCA, EOMD;612570;5q23.3
distal arthrogryposis;158300;muscle tissue disease;feeding difficulties;Abdominal symptom;MYH8;160741;17p13.1
distal arthrogryposis;193700;muscle tissue disease;camptodactyly;Flexion contracture of digit;MYH3;160720;17p13.1
distal arthrogryposis;601680;muscle tissue disease;round ear;Abnormality of the pinna;MYH3;160720;17p13.1
distal arthrogryposis;601680;muscle tissue disease;round ear;Abnormality of the pinna;TNNI2, AMCD2B, DA2B, FSSV;191043;11p15.5
distal arthrogryposis;601680;muscle tissue disease;round ear;Abnormality of the pinna;TNNT3, AMCD2B, DA2B, FSSV;600692;11p15.5
distal arthrogryposis;601680;muscle tissue disease;round ear;Abnormality of the pinna;TPM2, TMSB, AMCD1, DA1, DA2B, NEM4;190990;9p13.3
distal arthrogryposis;614335;muscle tissue disease;joint contracture of the hand;Contractures of the joints of the upper limbs;MYBPC1, LCCS4;160794;12q23.2
distal arthrogryposis;615065;muscle tissue disease;camptodactyly;Flexion contracture of digit;ECEL1, XCE, DA5D;605896;2q37.1
distal hereditary motor neuropathy;158590;motor neuritis;distal lower limb muscle weakness;Abnormality of the lower limb;HSPB8, H11, E2IG1, DHMN2, CMT2L, HMN2A;608014;12q24.23
distal hereditary motor neuropathy;600794;motor neuritis;distal amyotrophy;Skeletal muscle atrophy;BSCL2, SPG17, HMN5, PELD;606158;11q12.3
distal hereditary motor neuropathy;600794;motor neuritis;distal amyotrophy;Skeletal muscle atrophy;GARS, SMAD1, CMT2D, HMN5;600287;7p14.3
distal hereditary motor neuropathy;607641;motor neuritis;hand muscle weakness;Abnormality of the musculature of the hand;DCTN1, HMN7B;601143;2p13.1
distal hereditary motor neuropathy;608634;motor neuritis;peripheral neuropathy;Abnormal peripheral nervous system morphology;HSPB1, HSP27, CMT2F, HMN2B;602195;7q11.23
distal hereditary motor neuropathy;613376;motor neuritis;peripheral neuropathy;Abnormal peripheral nervous system morphology;HSPB3, HSPL27, HMN2C, DHMN2C;604624;5q11.2
distal muscular dystrophy;160500;muscular dystrophy;toe extensor amyotrophy;Abnormality of the foot musculature;MYH7, CMH1, MPD1, CMD1S, SPMM, SPMD;160760;14q11.2
distal muscular dystrophy;254130;muscular dystrophy;decreased/absent ankle reflexes;Areflexia of lower limbs;DYSF, LGMD2B, MMD1;603009;2p13.2
distal muscular dystrophy;606768;muscular dystrophy;distal amyotrophy;Skeletal muscle atrophy;DYSF, LGMD2B, MMD1;603009;2p13.2
distal muscular dystrophy;613319;muscular dystrophy;quadriceps muscle atrophy;Proximal lower limb amyotrophy;ANO5, TMEM16E, GDD1, LGMD2L;608662;11p14.3
distal muscular dystrophy;614065;muscular dystrophy;distal lower limb amyotrophy;Lower limb amyotrophy;FLNC, FLN2, ABPA, ABPL, MFM5, MPD4;102565;7q32.1
distal muscular dystrophy;614321;muscular dystrophy;calf muscle hypertrophy;Muscle hypertrophy of the lower extremities;CAV3, LGMD1C, LQT9;601253;3p25.3
double outlet right ventricle;217095;ventricular septal defect;abnormality of the pulmonary artery;Abnormality of the pulmonary vasculature;CFC1, CRYPTIC, HTX2, DTGA2;605194;2q21.1
double outlet right ventricle;217095;ventricular septal defect;abnormality of the pulmonary artery;Abnormality of the pulmonary vasculature;GATA6, AVSD5, ASD9, AVSD5, PACHD;601656;18q11.2
double outlet right ventricle;217095;ventricular septal defect;abnormality of the pulmonary artery;Abnormality of the pulmonary vasculature;GDF1, DTGA3, DORV, RAI;602880;19p13.11
double outlet right ventricle;217095;ventricular septal defect;abnormality of the pulmonary artery;Abnormality of the pulmonary vasculature;NKX2-5, NKX2E, CSX, CHNG5, VSD3, HLHS2;600584;5q35.1
double outlet right ventricle;217095;ventricular septal defect;abnormality of the pulmonary artery;Abnormality of the pulmonary vasculature;NKX2-6, CSX2, CTHM;611770;8p21.2
double outlet right ventricle;217095;ventricular septal defect;abnormality of the pulmonary artery;Abnormality of the pulmonary vasculature;TBX1, DGS, CTHM, CAFS, TGA, DORV, VCFS, DGCR;602054;22q11.21
dyschromatosis symmetrica hereditaria;127400;pigmentation disease;hyperpigmented/hypopigmented macules;Macule;ADAR, DRADA, DSH, DSRAD, IFI4, G1P1, AGS6;146920;1q21.3
dyschromatosis universalis hereditaria;615402;pigmentation disease;autosomal dominant inheritance;Mode of inheritance;ABCB6, MTABC3, MCOPCB7, LAN, DUH3;605452;2q35
dyskeratosis congenita;127550;skin disease;nail dystrophy;Abnormality of the nail;TERC, TRC3, TR, DKCA1, PFBMFT2;602322;3q26.2
dyskeratosis congenita;224230;skin disease;increased lacrimation;Lacrimation abnormality;NOLA3, NOP10, DKCB1;606471;15q14
dyskeratosis congenita;305000;skin disease;cognitive impairment;Abnormality of higher mental function;DKC1, DKCX;300126;Xq28
dyskeratosis congenita;613988;skin disease;nail dystrophy;Abnormality of the nail;WRAP53, TCAB1, WDR79, DKCB3;612661;17p13.1
dyskeratosis congenita;613989;skin disease;urethral stricture;Urethral stenosis;TERT, TCS1, EST2, DKCA2, DKCB4, PFBMFT1, CMM9;187270;5p15.33
dyskeratosis congenita;613990;skin disease;increased lacrimation;Lacrimation abnormality;TINF2, TIN2, DKCA3;604319;14q12
dyskeratosis congenita;615190;skin disease;postnatal growth retardation;Growth delay;RTEL1, C20orf41, NHL, KIAA1088, DKCB5, DKCA4;608833;20q13.33
dyslexia;127700;reading disorder;dyslexia;Specific learning disability;DYX1C1, DYXC1, DYX1, CILD25;608706;15q21.3
dyslexia;600202;reading disorder;dyslexia;Specific learning disability;KIAA0319, DYX2, DYLX2, DLX2;609269;6p22.3
dysplastic nevus syndrome;155600;autosomal dominant disease;cutaneous melanoma;Neoplasm of the skin;PTEN, MMAC1, GLM2, CWS1;601728;10q23.31
dysplastic nevus syndrome;155601;autosomal dominant disease;cutaneous melanoma;Neoplasm of the skin;CDKN2A, MTS1, P16, MLM, CMM2;600160;9p21.3
embryonal rhabdomyosarcoma;268210;rhabdomyosarcoma;embryonal rhabdomyosarcoma;Embryonal neoplasm;SLC22A1L, BWSCR1A, IMPT1;602631;11p15.4
endometrial carcinoma;608089;endometrial cancer;endometrial carcinoma;Abnormality of the endometrium;CDH1, UVO, LCAM, ECAD;192090;16q22.1
endometrial carcinoma;608089;endometrial cancer;endometrial carcinoma;Abnormality of the endometrium;MLH3, HNPCC7;604395;14q24.3
endometrial carcinoma;608089;endometrial cancer;endometrial carcinoma;Abnormality of the endometrium;MSH6, GTBP, HNPCC5;600678;2p16.3
endometrial carcinoma;608089;endometrial cancer;endometrial carcinoma;Abnormality of the endometrium;PTEN, MMAC1, GLM2, CWS1;601728;10q23.31
enlarged vestibular aqueduct;600791;auditory system disease;enlarged vestibular aqueduct;Morphological abnormality of the vestibule of the inner ear;FOXI1, FKHL10, FREAC6;601093;5q35.1
enlarged vestibular aqueduct;600791;auditory system disease;enlarged vestibular aqueduct;Morphological abnormality of the vestibule of the inner ear;KCNJ10, SESAME;602208;1q23.2
enlarged vestibular aqueduct;600791;auditory system disease;enlarged vestibular aqueduct;Morphological abnormality of the vestibule of the inner ear;SLC26A4, PDS, DFNB4, EVA, TDH2B;605646;7q22.3
epidermal nevus;162900;;numerous nevi;Hamartoma;FGFR3, ACH;134934;4p16.3
epidermal nevus;162900;;numerous nevi;Hamartoma;HRAS;190020;11p15.5
epidermal nevus;162900;;numerous nevi;Hamartoma;NRAS, ALPS4, NS6, CMNS, NCMS;164790;1p13.2
epidermal nevus;162900;;numerous nevi;Hamartoma;PIK3CA, CLOVE, MCAP, MCM, MCMTC, CWS5;171834;3q26.32
epidermodysplasia verruciformis;226400;autosomal recessive disease;verrucae;Papilloma;TMC6, EVER1, EV1;605828;17q25.3
epidermodysplasia verruciformis;226400;autosomal recessive disease;verrucae;Papilloma;TMC8, EVER2, EV2;605829;17q25.3
epidermolytic hyperkeratosis;113800;skin disease;abnormal blistering of the skin;Abnormality of skin morphology;KRT1, EPPK, NEPPK, EHK;139350;12q13.13
epidermolytic hyperkeratosis;113800;skin disease;abnormal blistering of the skin;Abnormality of skin morphology;KRT10, EHK, BCIE, BIE;148080;17q21.2
episodic ataxia;108500;neuromuscular disease;downbeat nystagmus;Vertical nystagmus;CACNA1A, CACNL1A4, SCA6;601011;19p13.2
episodic ataxia;160120;neuromuscular disease;abnormality of movement;Abnormality of nervous system physiology;KCNA1, AEMK, EA1;176260;12p13.32
episodic ataxia;612656;neuromuscular disease;hemiplegia;Hemiplegia/hemiparesis;SLC1A3, EAAT1, EA6;600111;5p13.2
episodic ataxia;613855;neuromuscular disease;episodic ataxia;Ataxia;CACNB4, EJM6, EA5, EIG9;601949;2q23.3
erythrokeratodermia variabilis;133200;skin disease;cognitive impairment;Abnormality of higher mental function;GJB3, CX31, DFNA2B;603324;1p34.3
erythrokeratodermia variabilis;133200;skin disease;cognitive impairment;Abnormality of higher mental function;GJB4, CX30.3;605425;1p34.3
erythropoietic protoporphyria;177000;acute porphyria;childhood onset;Onset;FECH, FCE;612386;18q21.31
erythropoietic protoporphyria;300752;acute porphyria;increased erythrocyte protoporphyrin concentration;Abnormality of the heme biosynthetic pathway;ALAS2, ANH1, ASB, XLEPP, XLSA, ANH1;301300;Xp11.21
esophagus squamous cell carcinoma;133239;esophageal carcinoma;chest pain;Abnormality of the thorax;DEC1;604767;9q33.1
esophagus squamous cell carcinoma;133239;esophageal carcinoma;chest pain;Abnormality of the thorax;DLEC1, DLC1;604050;3p22.2
esophagus squamous cell carcinoma;133239;esophageal carcinoma;chest pain;Abnormality of the thorax;LZTS1, F37, FEZ1;606551;8p21.3
esophagus squamous cell carcinoma;133239;esophageal carcinoma;chest pain;Abnormality of the thorax;RNF6;604242;13q12.13
esophagus squamous cell carcinoma;133239;esophageal carcinoma;chest pain;Abnormality of the thorax;TGFBR2, HNPCC6, AAT3, MFS2, LDS2;190182;3p24.1
esophagus squamous cell carcinoma;133239;esophageal carcinoma;chest pain;Abnormality of the thorax;WWOX, FOR, SCAR12, EIEE28;605131;16q23.1-q23.2
essential hypertension;145500;hypertension;elevated diastolic blood pressure;Hypertension;ADD1;102680;4p16.3
essential hypertension;145500;hypertension;elevated diastolic blood pressure;Hypertension;AGT, SERPINA8;106150;1q42.2
essential hypertension;145500;hypertension;elevated diastolic blood pressure;Hypertension;AGTR1, AGTR1A, AT2R1;106165;3q24
essential hypertension;145500;hypertension;elevated diastolic blood pressure;Hypertension;ATP1B1;182330;1q24.2
essential hypertension;145500;hypertension;elevated diastolic blood pressure;Hypertension;CYP3A5, P450PCN3;605325;7q22.1
essential hypertension;145500;hypertension;elevated diastolic blood pressure;Hypertension;ECE1;600423;1p36.12
essential hypertension;145500;hypertension;elevated diastolic blood pressure;Hypertension;GNB3;139130;12p13.31
essential hypertension;145500;hypertension;elevated diastolic blood pressure;Hypertension;HYT1;603918;17q
essential hypertension;145500;hypertension;elevated diastolic blood pressure;Hypertension;HYT2;604329;15q
essential hypertension;145500;hypertension;elevated diastolic blood pressure;Hypertension;HYT3;607329;2p25-p24
essential hypertension;145500;hypertension;elevated diastolic blood pressure;Hypertension;HYT4;608742;12p12.2-p12.1
essential hypertension;145500;hypertension;elevated diastolic blood pressure;Hypertension;HYT5;610261;20q11-q13
essential hypertension;145500;hypertension;elevated diastolic blood pressure;Hypertension;HYT6;610262;5p13-q12
essential hypertension;145500;hypertension;elevated diastolic blood pressure;Hypertension;NOS2A, NOS2;163730;17q11.2
essential hypertension;145500;hypertension;elevated diastolic blood pressure;Hypertension;NOS3;163729;7q36.1
essential hypertension;145500;hypertension;elevated diastolic blood pressure;Hypertension;PTGIS, CYP8A1, PGIS, CYP8;601699;20q13.13
essential hypertension;145500;hypertension;elevated diastolic blood pressure;Hypertension;RGS5;603276;1q23.3
essential hypertension;145500;hypertension;elevated diastolic blood pressure;Hypertension;SELE, ELAM1;131210;1q24.2
essential tremor;190300;movement disease;progressive disorder;Pace of progression;DRD3, ETM1, FET1;126451;3q13.31
essential tremor;614782;movement disease;postural tremor;Action tremor;FUS, TLS, ALS6, ETM4;137070;16p11.2
exfoliation syndrome;177650;iris disease;retinal vein occlusion;Abnormality of the retinal vasculature;LOXL1, LOXL;153456;15q24.1
extraskeletal myxoid chondrosarcoma;612237;myxoid chondrosarcoma;chondrosarcoma;Sarcoma;CSMF;600542;9q22.3-q31.1
extraskeletal myxoid chondrosarcoma;612237;myxoid chondrosarcoma;chondrosarcoma;Sarcoma;TAF15, TAF2N, RBP56;601574;17q12
exudative vitreoretinopathy;133780;retinal vascular disease;vitreous hemorrhage;Hemorrhage of the eye;FZD4, EVR1;604579;11q14.2
exudative vitreoretinopathy;305390;retinal vascular disease;subretinal exudate;Retinal exudate;NDP, ND, EVR2;300658;Xp11.3
exudative vitreoretinopathy;601813;retinal vascular disease;tractional retinal detachment;Retinal detachment;LRP5, BMND1, LRP7, LR3, OPPG, VBCH2, OPTA1, EVR4;603506;11q13.2
exudative vitreoretinopathy;613310;retinal vascular disease;degenerative vitreoretinopathy;Vitreoretinal abnormalities;TSPAN12, NET2, EVR5;613138;7q31.31
factor V deficiency;227400;inherited blood coagulation disease;prolonged whole-blood clotting time;Abnormality of coagulation;F5, THPH2, RPRGL1;612309;1q24.2
factor XI deficiency;612416;autosomal genetic disease;prolonged partial thromboplastin time;Abnormality of coagulation;F11;264900;4q35.2
factor XII deficiency;234000;autosomal genetic disease;prolonged whole-blood clotting time;Abnormality of coagulation;F12, HAF, HAE3;610619;5q35.3
factor XIII deficiency;613225;inherited blood coagulation disease;reduced factor xiii activity;Abnormality of the common coagulation pathway;F13A1, F13A;134570;6p25.1
factor XIII deficiency;613235;inherited blood coagulation disease;abnormal umbilical stump bleeding;Abnormal bleeding;F13B;134580;1q31.3
familial Mediterranean fever;134610;hypersensitivity reaction type II disease;chest pain;Abnormality of the thorax;MEFV, MEF, FMF;608107;16p13.3
familial Mediterranean fever;249100;hypersensitivity reaction type II disease;elevated erythrocyte sedimentation rate;Abnormality of metabolism/homeostasis;MEFV, MEF, FMF;608107;16p13.3
familial adenomatous polyposis;175100;autosomal dominant disease;epidermoid cyst;Localized skin lesion;APC, GS, FPC, BTPS2;611731;5q22.2
familial adenomatous polyposis;608456;autosomal dominant disease;adenomatous colonic polyposis;Neoplasm of the colon;MUTYH, MYH;604933;1p34.1
familial atrial fibrillation;607554;atrial fibrillation;atrial fibrillation;Primary atrial arrhythmia;KCNQ1, KCNA9, LQT1, KVLQT1, ATFB3, SQT2;607542;11p15.5-p15.4
familial atrial fibrillation;611493;atrial fibrillation;atrial fibrillation;Primary atrial arrhythmia;KCNE2, MIRP1, LQT6, ATFB4;603796;21q22.11
familial atrial fibrillation;612201;atrial fibrillation;atrial fibrillation;Primary atrial arrhythmia;NPPA, PND, ANP, ATFB6, ATRST2;108780;1p36.22
familial atrial fibrillation;612240;atrial fibrillation;prolonged pr interval;Abnormal EKG;KCNA5, ATFB7;176267;12p13.32
familial atrial fibrillation;613980;atrial fibrillation;paroxysmal atrial fibrillation;Atrial fibrillation;KCNJ2, HHIRK1, KIR2.1, IRK1, LQT7, SQT3, ATFB9;600681;17q24.3
familial atrial fibrillation;614022;atrial fibrillation;paroxysmal atrial tachycardia;Paroxysmal supraventricular tachycardia;SCN5A, LQT3, VF1, HB1, SSS1, CMD1E, CDCD2;600163;3p22.2
familial atrial fibrillation;614049;atrial fibrillation;atrial fibrillation;Primary atrial arrhythmia;GJA5, CX40, ATFB11;121013;1q21.2
familial atrial fibrillation;614050;atrial fibrillation;paroxysmal atrial fibrillation;Atrial fibrillation;ABCC9, SUR2, CMD1O, ATFB12, CANTU;601439;12p12.1
familial atrial fibrillation;615770;atrial fibrillation;atrial fibrillation;Primary atrial arrhythmia;NUP155, KIAA0791, ATFB15;606694;5p13.2
familial combined hyperlipidemia;144250;familial hyperlipidemia;combined hyperlipidemia;Hyperlipidemia;LPL, LIPD, HDLCQ11;609708;8p21.3
familial encephalopathy with neuroserpin inclusion bodies;604218;neurodegenerative disease;distal sensory impairment;Sensory impairment;SERPINI1, PI12;602445;3q26.1
familial hemiplegic migraine;141500;migraine with aura;auditory hallucinations;Hallucinations;CACNA1A, CACNL1A4, SCA6;601011;19p13.2
familial hemiplegic migraine;602481;migraine with aura;incomplete penetrance;Phenotypic variability;ATP1A2, FHM2, MHP2;182340;1q23.2
familial hemiplegic migraine;609634;migraine with aura;hemiplegia;Hemiplegia/hemiparesis;SCN1A, GEFSP2, SMEI, FEB3A, EIEE6, FHM3;182389;2q24.3
familial hypercholesterolemia;143890;familial hyperlipidemia;hypercholesterolemia;Abnormality of cholesterol metabolism;ABCA1, ABC1, HDLDT1, TGD;600046;9q31.1
familial hypercholesterolemia;143890;familial hyperlipidemia;hypercholesterolemia;Abnormality of cholesterol metabolism;APOA2;107670;1q23.3
familial hypercholesterolemia;143890;familial hyperlipidemia;hypercholesterolemia;Abnormality of cholesterol metabolism;EPHX2;132811;8p21.2-p21.1
familial hypercholesterolemia;143890;familial hyperlipidemia;hypercholesterolemia;Abnormality of cholesterol metabolism;GHR, GHIP;600946;5p13-p12
familial hypercholesterolemia;143890;familial hyperlipidemia;hypercholesterolemia;Abnormality of cholesterol metabolism;GSBS;604088;7p14.3
familial hypercholesterolemia;143890;familial hyperlipidemia;hypercholesterolemia;Abnormality of cholesterol metabolism;ITIH4, PK120, ITIHL1;600564;3p21.1
familial hypercholesterolemia;143890;familial hyperlipidemia;hypercholesterolemia;Abnormality of cholesterol metabolism;LDLR, FHC, FH, LDLCQ2;606945;19p13.2
familial hypertriglyceridemia;145750;lipid metabolism disorder;precocious atherosclerosis;Atherosclerosis;APOA5;606368;11q23.3
familial hypertriglyceridemia;145750;lipid metabolism disorder;precocious atherosclerosis;Atherosclerosis;LIPI, LPDL, PRED5;609252;21q11.2
familial juvenile hyperuricemic nephropathy;162000;kidney disease;progressive disorder;Pace of progression;UMOD, HNFJ1, FJHN, MCKD2, ADMCKD2;191845;16p12.3
familial juvenile hyperuricemic nephropathy;613092;kidney disease;chronic kidney disease;Renal insufficiency;REN, HNFJ2;179820;1q32.1
familial lipoprotein lipase deficiency;238600;familial hyperlipidemia;hyperchylomicronemia;Hyperlipoproteinemia;LPL, LIPD, HDLCQ11;609708;8p21.3
familial medullary thyroid carcinoma;155240;thyroid medullary carcinoma;medullary thyroid carcinoma;Thyroid carcinoma;NTRK1, TRKA, MTC;191315;1q23.1
familial medullary thyroid carcinoma;155240;thyroid medullary carcinoma;medullary thyroid carcinoma;Thyroid carcinoma;RET, MEN2A, HSCR1;164761;10q11.21
familial meningioma;607174;meningioma;incomplete penetrance;Phenotypic variability;MN1, MGCR;156100;22q12.1
familial meningioma;607174;meningioma;incomplete penetrance;Phenotypic variability;NF2;607379;22q12.2
familial meningioma;607174;meningioma;incomplete penetrance;Phenotypic variability;PDGFB, SIS, IBGC5;190040;22q13.1
familial meningioma;607174;meningioma;incomplete penetrance;Phenotypic variability;PTEN, MMAC1, GLM2, CWS1;601728;10q23.31
familial meningioma;607174;meningioma;incomplete penetrance;Phenotypic variability;SMARCE1, BAF57;603111;17q21.2
familial meningioma;607174;meningioma;incomplete penetrance;Phenotypic variability;SUFU, SUFUXL, SUFUH;607035;10q24.32
familial partial lipodystrophy;151660;lipodystrophy;glomerulopathy;Abnormality of the glomerulus;LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS, LGMD1B;150330;1q22
familial partial lipodystrophy;604367;lipodystrophy;toxemia of pregnancy;Prenatal maternal abnormality;PPARG, PPARG1, PPARG2, CIMT1, GLM1;601487;3p25.2
familial partial lipodystrophy;604367;lipodystrophy;toxemia of pregnancy;Prenatal maternal abnormality;PPP1R3A, PPP1R3;600917;7q31.1
familial partial lipodystrophy;613877;lipodystrophy;lipoatrophy;Lipodystrophy;PLIN1, PLIN, FPLD4;170290;15q26.1
familial partial lipodystrophy;615238;lipodystrophy;lipodystrophy;Abnormality of adipose tissue;CIDEC, FSP27, CIDE3, FPLD5;612120;3p25.3
familial visceral amyloidosis;105200;amyloidosis;generalized amyloid deposition;Amyloidosis;APOA1;107680;11q23.3
familial visceral amyloidosis;105200;amyloidosis;generalized amyloid deposition;Amyloidosis;FGA;134820;4q31.3
familial visceral amyloidosis;105200;amyloidosis;generalized amyloid deposition;Amyloidosis;LYZ;153450;12q15
fatal familial insomnia;600072;prion disease;insomnia;Sleep disturbance;PRNP, PRIP, KURU, CJD;176640;20p13
fatal infantile encephalocardiomyopathy;604377;mitochondrial metabolism disease;feeding difficulties in infancy;Feeding difficulties;SCO2, CEMCOX1, MYP6;604272;22q13.33
fatal infantile encephalocardiomyopathy;615119;mitochondrial metabolism disease;gliosis;Abnormality of the glial cells;COX15, CEMCOX2;603646;10q24.2
fibrodysplasia ossificans progressiva;135100;connective tissue disease;cognitive impairment;Abnormality of higher mental function;ACVR1, ACVRLK2, ALK2, FOP;102576;2q24.1
fibular hypoplasia and complex brachydactyly;228900;autosomal recessive disease;absent toe;Aplasia/Hypoplasia of toe;GDF5, CDMP1, SYNS2, OS5, BDA1C, SYM1B;601146;20q11.22
focal dermal hypoplasia;305600;X-linked disease;verrucae;Papilloma;PORCN, PORC, DHOF, FODH;300651;Xp11.23
focal segmental glomerulosclerosis;603278;glomerulosclerosis;hyperlipidemia;Abnormality of lipid metabolism;ACTN4, FSGS1, FSGS;604638;19q13.2
focal segmental glomerulosclerosis;603965;glomerulosclerosis;chronic kidney disease;Renal insufficiency;TRPC6, TRP6, FSGS2;603652;11q22.1
focal segmental glomerulosclerosis;607832;glomerulosclerosis;hypertension;Abnormality of cardiovascular system physiology;CD2AP, CMS;604241;6p12.3
focal segmental glomerulosclerosis;612551;glomerulosclerosis;polygenic inheritance;Multifactorial inheritance;APOL1, FSGS4;603743;22q12.3
focal segmental glomerulosclerosis;613237;glomerulosclerosis;nephrotic syndrome;Abnormal renal physiology;INF2, FSGS5, C14orf173, CMTDIE;610982;14q32.33
focal segmental glomerulosclerosis;614131;glomerulosclerosis;chronic kidney disease;Renal insufficiency;MYO1E, MYO1C, FSGS6;601479;15q22.2
follicular thyroid carcinoma;188470;thyroid carcinoma;follicular thyroid carcinoma;Thyroid carcinoma;HRAS;190020;11p15.5
follicular thyroid carcinoma;188470;thyroid carcinoma;follicular thyroid carcinoma;Thyroid carcinoma;MINPP1, HIPER1;605391;10q23.2
follicular thyroid carcinoma;188470;thyroid carcinoma;follicular thyroid carcinoma;Thyroid carcinoma;NRAS, ALPS4, NS6, CMNS, NCMS;164790;1p13.2
follicular thyroid carcinoma;188470;thyroid carcinoma;follicular thyroid carcinoma;Thyroid carcinoma;PTEN, MMAC1, GLM2, CWS1;601728;10q23.31
fragile X syndrome;300624;neurodegenerative disease;self-injurious behavior;Abnormal aggressive, impulsive or violent behavior;FMR1, FRAXA, POF1;309550;Xq27.3
fragile X-associated tremor/ataxia syndrome;300623;neurodegenerative disease;abnormal renal physiology;Abnormality of the urinary system physiology;FMR1, FRAXA, POF1;309550;Xq27.3
frontotemporal dementia;600274;basal ganglia disease;inappropriate sexual behavior;Inappropriate behavior;MAPT, MTBT1, DDPAC, MSTD;157140;17q21.31
frontotemporal dementia;600274;basal ganglia disease;inappropriate sexual behavior;Inappropriate behavior;PSEN1, AD3;104311;14q24.2
frontotemporal dementia;600795;basal ganglia disease;babinski sign;Abnormal pyramidal signs;CHMP2B, DMT1, VPS2B, ALS17;609512;3p11.2
fructose-1,6-bisphosphatase deficiency;229700;carbohydrate metabolic disorder;hyperventilation;Abnormal pattern of respiration;FBP1;611570;9q22.32
